title,duration,rating,price
Профессия «С#-разработчик» от Skillbox,"
  Длительность: 
 12 месяцев
","
10
",166 750 ₽ 125 063 ₽
Профессия «Разработчик на C++ с нуля» от Skillbox,"
  Длительность: 
 18 месяцев
","
10
",193 833 ₽ 125 991 ₽
Факультет fullstack JavaScript от GeekBrains,"
  Длительность: 
 15 месяцев
","
10
",224 500 ₽ 168 750 ₽
Профессия «Data scientist» от SkillFactory,"
  Длительность: 
 24 месяца
","
10
",324 000 ₽ 178 200 ₽
Профессия «Системный администратор» от Нетологии,"
  Длительность: 
 12 месяцев
","
10
",130 000 ₽ 78 000 ₽
Факультет data engineering от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",133 000 ₽ 93 100 ₽
Курс «Разработка на C#» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",274 500 ₽ 168 750 ₽
Факультет искусственного интеллекта от Geekbrains,"
  Длительность: 
 18 месяцев
","
10
",224 500 ₽ 179 600 ₽
Бакалавриат «Data Science & Machine Learning» от Skillbox и РАНХиГС,"
  Длительность: 
 48 месяцев
","
10
",1 200 000 ₽ 150 000 ₽
Профессия «PHP-разработчик с нуля до PRO» от Skillbox,"
  Длительность: 
 12 месяцев
","
10
",144 232 ₽ 100 958 ₽
Профессия «Data Engineer» от Skillbox,"
  Длительность: 
 24 месяца
","
10
",203 562 ₽ 122 130 ₽
Курс «Автоматизированное тестирование на Python» от Skillbox,"
  Длительность: 
 12 месяцев
","
10
",141 878 ₽ 99 308 ₽
Курс «Data Scientist с нуля до Junior» от Skillbox,"
  Длительность: 
 12 месяцев
","
10
",185 000 ₽ 111 000 ₽
Курс «Data Analyst с нуля до Junior» от Skillbox,"
  Длительность: 
 12 месяцев
","
10
",176 968 ₽ 106 172 ₽
Курс «Data Engineer с нуля до Junior» от Skillbox,"
  Длительность: 
 12 месяцев
","
10
",176 956 ₽ 106 174 ₽
Курс «Machine Learning с нуля до Junior» от Skillbox,"
  Длительность: 
 12 месяцев
","
10
",176 956 ₽ 106 174 ₽
Курс «Java-разработчик» от Яндекс Практикума,"
  Длительность: 
 10 месяцев
","
10
",140 000 ₽
Курс «Веб-разработчик плюс» от Яндекс Практикума,"
  Длительность: 
 18 месяцев
","
10
",252 000 ₽
Курс «Специалист по Data Science плюс» от Яндекс Практикума,"
  Длительность: 
 16 месяцев
","
10
",228 000 ₽
Курс «Надёжный старт в IT» от SkillFactory,"
  Длительность: 
 18 месяцев
","
10
",375 012 ₽ 225 000 ₽
Курс «Fullstack веб-разработчик на JavaScript и PHP» от SkillFactory,"
  Длительность: 
 20 месяцев
","
10
",632 484 ₽ 253 008 ₽
Курс «Backend-разработчик на PHP» от SkillFactory,"
  Длительность: 
 12 месяцев
","
10
",263 340 ₽ 158 004 ₽
Профессия «Frontend-разработчик PRO» от SkillFactory,"
  Длительность: 
 14 месяцев
","
10
",149 976 ₽ 90 036 ₽
Курс «Мобильный разработчик» от SkillFactory,"
  Длительность: 
 16 месяцев
","
10
",229 896 ₽ 137 952 ₽
Профессия «Разработчик игр на Unity» от SkillFactory,"
  Длительность: 
 18 месяцев
","
10
",259 992 ₽ 155 988 ₽
Курс «Инженерия машинного обучения» от SkillFactory и УрФУ,"
  Длительность: 
 24 месяца
","
10
",480 000 ₽
Курс «Науки о данных» от SkillFactory и МФТИ,"
  Длительность: 
 24 месяца
","
10
",640 000 ₽
Курс «1C-программист: с нуля до middle» от Нетологии,"
  Длительность: 
 17 месяцев
","
10
",182 500 ₽ 109 500 ₽
Курс «Инженер по автоматизации» от Нетологии,"
  Длительность: 
 12 месяцев
","
10
",117 900 ₽ 70 740 ₽
Курс «Разработчик на C++» от Нетологии,"
  Длительность: 
 12 месяцев
","
10
",180 000 ₽ 108 000 ₽
Курс «SQL-разработчик с нуля» от Нетологии,"
  Длительность: 
 16 месяцев
","
10
",140 000 ₽ 84 000 ₽
Курс «Кибербезопасность» от Нетологиии и НИУ ВШЭ,"
  Длительность: 
 24 месяца
","
10
",800 000 ₽
Профессия «Java-разработчик» от Skypro,"
  Длительность: 
 11 месяцев
","
10
",158 641 ₽ 95 185 ₽
Профессия «Веб-разработчик» от Skypro,"
  Длительность: 
 12 месяцев
","
10
",158 641 ₽ 95 185 ₽
Курс «Разработчик» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «ИТ-инженер» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «ИТ-инженер Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «ИТ-инженер PRO» от GeekBrains,"
  Длительность: 
 36 месяцев
","
10
",450 000 ₽ 340 452 ₽
Курс «Инженер-программист Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «Инженер-программист» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Инженер-программист PRO» от GeekBrains,"
  Длительность: 
 36 месяцев
","
10
",450 000 ₽ 340 452 ₽
Курс «ИТ-инженер. Передовые технологии» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 168 768 ₽
Курс «ИТ-инженер web 3.0» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 168 768 ₽
Курс «Блокчейн» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 168 768 ₽
Курс «Data Science» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 168 768 ₽
Курс «Искусственный интеллект» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 168 768 ₽
Курс «Метавселенные» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 168 768 ₽
Курс «Кибернетика умных устройств» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 168 768 ₽
Курс «Инженер-программист C# Мастер» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",350 028 ₽ 264 780 ₽
Курс «Инженер-программист C++ Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «Инженер-программист C++» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Программист Python Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «Инженер-программист Python» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Программист Java Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «Программист Java» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Fullstack-разработчик» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Fullstack-разработчик Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «Программист JavaScript» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Программист JavaScript Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «Инженер-программист Go» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Программист Go Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «Frontend-разработчик Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «Веб-разработчик» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Веб-разработчик Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «Инженер по тестированию» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Инженер по тестированию Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «Инженер по тестированию PRO» от GeekBrains,"
  Длительность: 
 26 месяцев
","
10
",450 000 ₽ 340 452 ₽
Курс «Инженер по ручному тестированию» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Инженер по автоматизированному тестированию» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Python-разработчик плюс» от Яндекс Практикума,"
  Длительность: 
 14 месяцев
","
10
",196 000 ₽
Курс «Android-разработчик» от Яндекс Практикума,"
  Длительность: 
 12 месяцев
","
10
",168 000 ₽
Курс «iOS-разработчик» от Яндекс Практикума,"
  Длительность: 
 10 месяцев
","
10
",140 000 ₽
Профессия «PHP-разработчик» от Skillbox,"
  Длительность: 
 12 месяцев
","
9.8
",138 000 ₽ 82 800 ₽
